Store ID,Transaction Type,Amount,Transaction Count,Date
3,Gift Card,0,0,8/3/2019
2,Gift Card,0,0,8/3/2019
1,Gift Card,0,0,8/3/2019
41,EPay,202.2,12,8/3/2019
40,EPay,97.34,5,8/3/2019
39,EPay,212.2,11,8/3/2019
38,EPay,178.44,9,8/3/2019
37,EPay,41.58,1,8/3/2019
23,EPay,162.32,10,8/3/2019
22,EPay,281.32,15,8/3/2019
21,EPay,157.34,10,8/3/2019
20,EPay,246.14,12,8/3/2019
19,EPay,178.84,10,8/3/2019
12,EPay,51.57,2,8/3/2019
11,EPay,61.56,4,8/3/2019
10,EPay,75.62,5,8/3/2019
6,EPay,102.45,8,8/3/2019
3,EPay,144.3,8,8/3/2019
2,EPay,67.96,6,8/3/2019
1,EPay,153.44,10,8/3/2019
41,EBT,0,0,8/3/2019
40,EBT,0,0,8/3/2019
39,EBT,0,0,8/3/2019
38,EBT,0,0,8/3/2019
37,EBT,0,0,8/3/2019
23,EBT,0,0,8/3/2019
22,EBT,0,0,8/3/2019
21,EBT,0,0,8/3/2019
20,EBT,0,0,8/3/2019
19,EBT,0,0,8/3/2019
12,EBT,0,0,8/3/2019
11,EBT,0,0,8/3/2019
10,EBT,0,0,8/3/2019
6,EBT,0,0,8/3/2019
3,EBT,0,0,8/3/2019
2,EBT,0,0,8/3/2019
1,EBT,0,0,8/3/2019
41,Debit,0,0,8/3/2019
40,Debit,0,0,8/3/2019
39,Debit,0,0,8/3/2019
38,Debit,0,0,8/3/2019
37,Debit,0,0,8/3/2019
23,Debit,0,0,8/3/2019
22,Debit,0,0,8/3/2019
21,Debit,0,0,8/3/2019
20,Debit,0,0,8/3/2019
19,Debit,0,0,8/3/2019
12,Debit,0,0,8/3/2019
11,Debit,0,0,8/3/2019
10,Debit,0,0,8/3/2019
6,Debit,0,0,8/3/2019
3,Debit,0,0,8/3/2019
2,Debit,0,0,8/3/2019
1,Debit,0,0,8/3/2019
41,Cust. Account,0,0,8/3/2019
40,Cust. Account,0,0,8/3/2019
39,Cust. Account,0,0,8/3/2019
38,Cust. Account,0,0,8/3/2019
37,Cust. Account,0,0,8/3/2019
23,Cust. Account,0,0,8/3/2019
22,Cust. Account,0,0,8/3/2019
21,Cust. Account,0,0,8/3/2019
20,Cust. Account,0,0,8/3/2019
19,Cust. Account,0,0,8/3/2019
12,Cust. Account,0,0,8/3/2019
11,Cust. Account,0,0,8/3/2019
10,Cust. Account,0,0,8/3/2019
6,Cust. Account,0,0,8/3/2019
3,Cust. Account,0,0,8/3/2019
2,Cust. Account,0,0,8/3/2019
1,Cust. Account,0,0,8/3/2019
41,Credit,652.37,47,8/3/2019
40,Credit,396.28,35,8/3/2019
39,Credit,1215.86,106,8/3/2019
38,Credit,382.25,33,8/3/2019
37,Credit,500.03,38,8/3/2019
23,Credit,478.88,37,8/3/2019
22,Credit,682.65,41,8/3/2019
21,Credit,560.63,41,8/3/2019
20,Credit,1345.28,106,8/3/2019
19,Credit,360.23,30,8/3/2019
12,Credit,687.38,58,8/3/2019
11,Credit,1086.98,81,8/3/2019
10,Credit,517.05,42,8/3/2019
6,Credit,906.38,71,8/3/2019
3,Credit,843.93,79,8/3/2019
2,Credit,504.68,40,8/3/2019
1,Credit,627.33,48,8/3/2019
41,Checks,0,0,8/3/2019
40,Checks,0,0,8/3/2019
39,Checks,0,0,8/3/2019
38,Checks,0,0,8/3/2019
37,Checks,0,0,8/3/2019
23,Checks,0,0,8/3/2019
22,Checks,0,0,8/3/2019
21,Checks,0,0,8/3/2019
20,Checks,0,0,8/3/2019
19,Checks,0,0,8/3/2019
12,Checks,0,0,8/3/2019
11,Checks,0,0,8/3/2019
10,Checks,0,0,8/3/2019
6,Checks,0,0,8/3/2019
3,Checks,0,0,8/3/2019
2,Checks,0,0,8/3/2019
1,Checks,0,0,8/3/2019
41,Cash,721.29,71,8/3/2019
40,Cash,750.08,73,8/3/2019
39,Cash,979.7,116,8/3/2019
38,Cash,558.59,52,8/3/2019
37,Cash,463.36,46,8/3/2019
23,Cash,498.78,50,8/3/2019
22,Cash,521.21,56,8/3/2019
21,Cash,893.43,81,8/3/2019
20,Cash,2616.66,256,8/3/2019
19,Cash,482.03,51,8/3/2019
12,Cash,923.56,105,8/3/2019
11,Cash,1550.9,148,8/3/2019
10,Cash,985.64,95,8/3/2019
6,Cash,1386.38,130,8/3/2019
3,Cash,1817.25,209,8/3/2019
2,Cash,549.85,56,8/3/2019
1,Cash,1272.71,116,8/3/2019
41,Alt. Currency,0,0,8/3/2019
40,Alt. Currency,0,0,8/3/2019
39,Alt. Currency,0,0,8/3/2019
38,Alt. Currency,0,0,8/3/2019
37,Alt. Currency,0,0,8/3/2019
23,Alt. Currency,0,0,8/3/2019
22,Alt. Currency,0,0,8/3/2019
21,Alt. Currency,0,0,8/3/2019
20,Alt. Currency,0,0,8/3/2019
19,Alt. Currency,0,0,8/3/2019
12,Alt. Currency,0,0,8/3/2019
11,Alt. Currency,0,0,8/3/2019
10,Alt. Currency,0,0,8/3/2019
6,Alt. Currency,0,0,8/3/2019
3,Alt. Currency,0,0,8/3/2019
2,Alt. Currency,0,0,8/3/2019
1,Alt. Currency,0,0,8/3/2019
41,PO,0,0,8/2/2019
40,PO,0,0,8/2/2019
39,PO,0,0,8/2/2019
38,PO,0,0,8/2/2019
37,PO,0,0,8/2/2019
23,PO,0,0,8/2/2019
22,PO,0,0,8/2/2019
21,PO,0,0,8/2/2019
20,PO,0,0,8/2/2019
19,PO,0,0,8/2/2019
12,PO,0,0,8/2/2019
11,PO,0,0,8/2/2019
10,PO,0,0,8/2/2019
6,PO,0,0,8/2/2019
3,PO,0,0,8/2/2019
2,PO,0,0,8/2/2019
1,PO,0,0,8/2/2019
41,Other,0,0,8/2/2019
40,Other,0,0,8/2/2019
39,Other,0,0,8/2/2019
38,Other,0,0,8/2/2019
37,Other,0,0,8/2/2019
23,Other,0,0,8/2/2019
22,Other,0,0,8/2/2019
21,Other,0,0,8/2/2019
20,Other,0,0,8/2/2019
19,Other,0,0,8/2/2019
12,Other,0,0,8/2/2019
11,Other,0,0,8/2/2019
10,Other,0,0,8/2/2019
6,Other,0,0,8/2/2019
3,Other,0,0,8/2/2019
2,Other,0,0,8/2/2019
1,Other,0,0,8/2/2019
41,Notas,0,0,8/2/2019
40,Notas,0,0,8/2/2019
39,Notas,0,0,8/2/2019
38,Notas,0,0,8/2/2019
37,Notas,0,0,8/2/2019
23,Notas,0,0,8/2/2019
22,Notas,0,0,8/2/2019
21,Notas,0,0,8/2/2019
20,Notas,0,0,8/2/2019
19,Notas,0,0,8/2/2019
12,Notas,0,0,8/2/2019
11,Notas,0,0,8/2/2019
10,Notas,0,0,8/2/2019
6,Notas,0,0,8/2/2019
3,Notas,0,0,8/2/2019
2,Notas,0,0,8/2/2019
1,Notas,0,0,8/2/2019
41,Manual Credit,0,0,8/2/2019
40,Manual Credit,0,0,8/2/2019
39,Manual Credit,0,0,8/2/2019
38,Manual Credit,0,0,8/2/2019
37,Manual Credit,0,0,8/2/2019
23,Manual Credit,0,0,8/2/2019
22,Manual Credit,0,0,8/2/2019
21,Manual Credit,0,0,8/2/2019
20,Manual Credit,0,0,8/2/2019
19,Manual Credit,0,0,8/2/2019
12,Manual Credit,0,0,8/2/2019
11,Manual Credit,0,0,8/2/2019
10,Manual Credit,0,0,8/2/2019
6,Manual Credit,0,0,8/2/2019
3,Manual Credit,0,0,8/2/2019
2,Manual Credit,0,0,8/2/2019
1,Manual Credit,0,0,8/2/2019
41,Gift Card,0,0,8/2/2019
40,Gift Card,0,0,8/2/2019
39,Gift Card,0,0,8/2/2019
38,Gift Card,0,0,8/2/2019
37,Gift Card,0,0,8/2/2019
23,Gift Card,10,1,8/2/2019
22,Gift Card,0,0,8/2/2019
21,Gift Card,10.6,1,8/2/2019
20,Gift Card,15,1,8/2/2019
19,Gift Card,0,0,8/2/2019
12,Gift Card,0,0,8/2/2019
11,Gift Card,0,0,8/2/2019
10,Gift Card,0,0,8/2/2019
6,Gift Card,0,0,8/2/2019
3,Gift Card,0,0,8/2/2019
2,Gift Card,0,0,8/2/2019
1,Gift Card,0,0,8/2/2019
41,EPay,184.22,10,8/2/2019
40,EPay,71.75,5,8/2/2019
39,EPay,301.94,19,8/2/2019
38,EPay,199.4,10,8/2/2019
37,EPay,136.22,7,8/2/2019
23,EPay,128.84,11,8/2/2019
22,EPay,140.45,11,8/2/2019
21,EPay,179.63,12,8/2/2019
20,EPay,278.47,21,8/2/2019
19,EPay,435.07,19,8/2/2019
12,EPay,31.69,2,8/2/2019
11,EPay,60.75,3,8/2/2019
10,EPay,122.45,8,8/2/2019
6,EPay,252.98,15,8/2/2019
3,EPay,89.92,9,8/2/2019
2,EPay,53.99,5,8/2/2019
1,EPay,66.34,3,8/2/2019
41,EBT,0,0,8/2/2019
40,EBT,0,0,8/2/2019
39,EBT,0,0,8/2/2019
38,EBT,0,0,8/2/2019
37,EBT,0,0,8/2/2019
23,EBT,0,0,8/2/2019
22,EBT,0,0,8/2/2019
21,EBT,0,0,8/2/2019
20,EBT,0,0,8/2/2019
19,EBT,0,0,8/2/2019
12,EBT,0,0,8/2/2019
11,EBT,0,0,8/2/2019
10,EBT,0,0,8/2/2019
6,EBT,0,0,8/2/2019
3,EBT,0,0,8/2/2019
2,EBT,0,0,8/2/2019
1,EBT,0,0,8/2/2019
41,Debit,0,0,8/2/2019
40,Debit,0,0,8/2/2019
39,Debit,0,0,8/2/2019
38,Debit,0,0,8/2/2019
37,Debit,0,0,8/2/2019
23,Debit,0,0,8/2/2019
22,Debit,0,0,8/2/2019
21,Debit,0,0,8/2/2019
20,Debit,0,0,8/2/2019
19,Debit,0,0,8/2/2019
12,Debit,0,0,8/2/2019
11,Debit,0,0,8/2/2019
10,Debit,0,0,8/2/2019
6,Debit,0,0,8/2/2019
3,Debit,0,0,8/2/2019
2,Debit,0,0,8/2/2019
1,Debit,0,0,8/2/2019
41,Cust. Account,0,0,8/2/2019
40,Cust. Account,0,0,8/2/2019
39,Cust. Account,0,0,8/2/2019
38,Cust. Account,0,0,8/2/2019
37,Cust. Account,0,0,8/2/2019
23,Cust. Account,0,0,8/2/2019
22,Cust. Account,0,0,8/2/2019
21,Cust. Account,0,0,8/2/2019
20,Cust. Account,0,0,8/2/2019
19,Cust. Account,0,0,8/2/2019
12,Cust. Account,0,0,8/2/2019
11,Cust. Account,0,0,8/2/2019
10,Cust. Account,0,0,8/2/2019
6,Cust. Account,0,0,8/2/2019
3,Cust. Account,0,0,8/2/2019
2,Cust. Account,0,0,8/2/2019
1,Cust. Account,0,0,8/2/2019
41,Credit,673.45,59,8/2/2019
40,Credit,673.86,62,8/2/2019
39,Credit,1285.62,124,8/2/2019
38,Credit,677.61,55,8/2/2019
37,Credit,1459.66,61,8/2/2019
23,Credit,437.04,42,8/2/2019
22,Credit,796.26,61,8/2/2019
21,Credit,783.11,65,8/2/2019
20,Credit,1866.55,152,8/2/2019
19,Credit,867.93,54,8/2/2019
12,Credit,862.58,71,8/2/2019
11,Credit,1496.26,109,8/2/2019
10,Credit,759.44,69,8/2/2019
6,Credit,1178.52,74,8/2/2019
3,Credit,1342.16,102,8/2/2019
2,Credit,644.62,61,8/2/2019
1,Credit,933.28,59,8/2/2019
41,Checks,0,0,8/2/2019
40,Checks,0,0,8/2/2019
39,Checks,0,0,8/2/2019
38,Checks,0,0,8/2/2019
37,Checks,0,0,8/2/2019
23,Checks,0,0,8/2/2019
22,Checks,0,0,8/2/2019
21,Checks,0,0,8/2/2019
20,Checks,0,0,8/2/2019
19,Checks,0,0,8/2/2019
12,Checks,0,0,8/2/2019
11,Checks,0,0,8/2/2019
10,Checks,0,0,8/2/2019
6,Checks,0,0,8/2/2019
3,Checks,0,0,8/2/2019
2,Checks,0,0,8/2/2019
1,Checks,0,0,8/2/2019
41,Cash,601.18,66,8/2/2019
40,Cash,1018.47,104,8/2/2019
39,Cash,1268.49,141,8/2/2019
38,Cash,647.86,57,8/2/2019
37,Cash,515.06,58,8/2/2019
23,Cash,709.34,66,8/2/2019
22,Cash,617.89,69,8/2/2019
21,Cash,885.5,81,8/2/2019
20,Cash,3068.16,288,8/2/2019
19,Cash,304.03,40,8/2/2019
12,Cash,1276.49,122,8/2/2019
11,Cash,1254.49,140,8/2/2019
10,Cash,1119.4,130,8/2/2019
6,Cash,1542.49,152,8/2/2019
3,Cash,1704,186,8/2/2019
2,Cash,1008.68,97,8/2/2019
1,Cash,1860.67,176,8/2/2019
41,Alt. Currency,0,0,8/2/2019
40,Alt. Currency,0,0,8/2/2019
39,Alt. Currency,0,0,8/2/2019
38,Alt. Currency,0,0,8/2/2019
37,Alt. Currency,0,0,8/2/2019
23,Alt. Currency,0,0,8/2/2019
22,Alt. Currency,0,0,8/2/2019
21,Alt. Currency,0,0,8/2/2019
20,Alt. Currency,0,0,8/2/2019
19,Alt. Currency,0,0,8/2/2019
12,Alt. Currency,0,0,8/2/2019
11,Alt. Currency,0,0,8/2/2019
10,Alt. Currency,0,0,8/2/2019
6,Alt. Currency,0,0,8/2/2019
3,Alt. Currency,0,0,8/2/2019
2,Alt. Currency,0,0,8/2/2019
1,Alt. Currency,0,0,8/2/2019
41,PO,0,0,8/1/2019
40,PO,0,0,8/1/2019
39,PO,0,0,8/1/2019
38,PO,0,0,8/1/2019
37,PO,0,0,8/1/2019
23,PO,0,0,8/1/2019
22,PO,0,0,8/1/2019
21,PO,0,0,8/1/2019
20,PO,0,0,8/1/2019
19,PO,0,0,8/1/2019
12,PO,0,0,8/1/2019
11,PO,0,0,8/1/2019
10,PO,0,0,8/1/2019
6,PO,0,0,8/1/2019
3,PO,0,0,8/1/2019
2,PO,0,0,8/1/2019
1,PO,0,0,8/1/2019
41,Other,0,0,8/1/2019
40,Other,0,0,8/1/2019
39,Other,0,0,8/1/2019
38,Other,0,0,8/1/2019
37,Other,0,0,8/1/2019
23,Other,0,0,8/1/2019
22,Other,0,0,8/1/2019
21,Other,0,0,8/1/2019
20,Other,0,0,8/1/2019
19,Other,0,0,8/1/2019
12,Other,0,0,8/1/2019
11,Other,0,0,8/1/2019
10,Other,0,0,8/1/2019
6,Other,0,0,8/1/2019
3,Other,0,0,8/1/2019
2,Other,0,0,8/1/2019
1,Other,0,0,8/1/2019
41,Notas,0,0,8/1/2019
40,Notas,0,0,8/1/2019
39,Notas,0,0,8/1/2019
38,Notas,0,0,8/1/2019
37,Notas,0,0,8/1/2019
23,Notas,0,0,8/1/2019
22,Notas,0,0,8/1/2019
21,Notas,0,0,8/1/2019
20,Notas,0,0,8/1/2019
19,Notas,0,0,8/1/2019
12,Notas,0,0,8/1/2019
11,Notas,0,0,8/1/2019
10,Notas,0,0,8/1/2019
6,Notas,0,0,8/1/2019
3,Notas,0,0,8/1/2019
2,Notas,0,0,8/1/2019
1,Notas,0,0,8/1/2019
41,Manual Credit,0,0,8/1/2019
40,Manual Credit,0,0,8/1/2019
39,Manual Credit,0,0,8/1/2019
38,Manual Credit,0,0,8/1/2019
37,Manual Credit,0,0,8/1/2019
23,Manual Credit,0,0,8/1/2019
22,Manual Credit,0,0,8/1/2019
21,Manual Credit,0,0,8/1/2019
20,Manual Credit,0,0,8/1/2019
19,Manual Credit,0,0,8/1/2019
12,Manual Credit,0,0,8/1/2019
11,Manual Credit,0,0,8/1/2019
10,Manual Credit,0,0,8/1/2019
6,Manual Credit,0,0,8/1/2019
3,Manual Credit,0,0,8/1/2019
2,Manual Credit,0,0,8/1/2019
1,Manual Credit,0,0,8/1/2019
41,Gift Card,9,1,8/1/2019
40,Gift Card,0,0,8/1/2019
39,Gift Card,0,0,8/1/2019
38,Gift Card,0,0,8/1/2019
37,Gift Card,0,0,8/1/2019
23,Gift Card,0,0,8/1/2019
22,Gift Card,0,0,8/1/2019
21,Gift Card,0,0,8/1/2019
20,Gift Card,0,0,8/1/2019
19,Gift Card,0,0,8/1/2019
12,Gift Card,0,0,8/1/2019
11,Gift Card,0,0,8/1/2019
10,Gift Card,0,0,8/1/2019
6,Gift Card,0,0,8/1/2019
3,Gift Card,0,0,8/1/2019
2,Gift Card,0,0,8/1/2019
1,Gift Card,0,0,8/1/2019
41,EPay,99.21,4,8/1/2019
40,EPay,108.59,6,8/1/2019
39,EPay,58,3,8/1/2019
38,EPay,0,0,8/1/2019
37,EPay,57.35,2,8/1/2019
23,EPay,141.77,9,8/1/2019
22,EPay,168.33,9,8/1/2019
21,EPay,213.06,13,8/1/2019
20,EPay,258.58,13,8/1/2019
19,EPay,184.03,15,8/1/2019
12,EPay,84.55,6,8/1/2019
11,EPay,145.76,5,8/1/2019
10,EPay,171.71,9,8/1/2019
6,EPay,122.81,10,8/1/2019
3,EPay,42.12,2,8/1/2019
2,EPay,39.69,4,8/1/2019
1,EPay,227.69,10,8/1/2019
41,EBT,0,0,8/1/2019
40,EBT,0,0,8/1/2019
39,EBT,0,0,8/1/2019
38,EBT,0,0,8/1/2019
37,EBT,0,0,8/1/2019
23,EBT,0,0,8/1/2019
22,EBT,0,0,8/1/2019
21,EBT,0,0,8/1/2019
20,EBT,0,0,8/1/2019
19,EBT,0,0,8/1/2019
12,EBT,0,0,8/1/2019
11,EBT,0,0,8/1/2019
10,EBT,0,0,8/1/2019
6,EBT,0,0,8/1/2019
3,EBT,0,0,8/1/2019
2,EBT,0,0,8/1/2019
1,EBT,0,0,8/1/2019
41,Debit,0,0,8/1/2019
40,Debit,0,0,8/1/2019
39,Debit,0,0,8/1/2019
38,Debit,0,0,8/1/2019
37,Debit,0,0,8/1/2019
23,Debit,0,0,8/1/2019
22,Debit,0,0,8/1/2019
21,Debit,0,0,8/1/2019
20,Debit,0,0,8/1/2019
19,Debit,0,0,8/1/2019
12,Debit,0,0,8/1/2019
11,Debit,0,0,8/1/2019
10,Debit,0,0,8/1/2019
6,Debit,0,0,8/1/2019
3,Debit,0,0,8/1/2019
2,Debit,0,0,8/1/2019
1,Debit,0,0,8/1/2019
41,Cust. Account,0,0,8/1/2019
40,Cust. Account,0,0,8/1/2019
39,Cust. Account,0,0,8/1/2019
38,Cust. Account,0,0,8/1/2019
37,Cust. Account,0,0,8/1/2019
23,Cust. Account,0,0,8/1/2019
22,Cust. Account,0,0,8/1/2019
21,Cust. Account,0,0,8/1/2019
20,Cust. Account,0,0,8/1/2019
19,Cust. Account,0,0,8/1/2019
12,Cust. Account,0,0,8/1/2019
11,Cust. Account,0,0,8/1/2019
10,Cust. Account,0,0,8/1/2019
6,Cust. Account,0,0,8/1/2019
3,Cust. Account,0,0,8/1/2019
2,Cust. Account,0,0,8/1/2019
1,Cust. Account,0,0,8/1/2019
41,Credit,360.43,37,8/1/2019
40,Credit,496.65,47,8/1/2019
39,Credit,877.65,87,8/1/2019
38,Credit,526,41,8/1/2019
37,Credit,453.28,42,8/1/2019
23,Credit,482.25,42,8/1/2019
22,Credit,570.65,45,8/1/2019
21,Credit,498.3,53,8/1/2019
